"time","Freq1","Freq2","Freq3","orificeHeater","gapQF","stab1","stab2","stab3"
"15-Jan-12 12.35.30.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.35.40.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.35.50.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.36.00.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.36.10.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.36.20.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.36.30.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.36.40.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.36.50.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.37.00.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.37.10.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.37.20.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.37.30.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.37.40.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.37.50.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.38.00.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.38.10.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.38.20.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.38.30.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.38.40.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.38.50.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.39.00.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.39.10.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.39.20.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.39.30.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.39.40.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.39.50.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.40.00.000 AM",7292.24396299235,7210.30008459063,7572.18562025554,"000",0,1,1,1
"15-Jan-12 12.40.10.000 AM",7292.24396299235,7210.30008459063,7572.18562025554,"000",0,1,1,1
"15-Jan-12 12.40.20.000 AM",7292.24396299235,7210.30008459063,7572.18562025554,"000",0,1,1,1
"15-Jan-12 12.40.30.000 AM",7292.24396299235,7210.30008459063,7572.18562025554,"000",0,1,1,1
"15-Jan-12 12.40.40.000 AM",7292.24396299235,7210.30008459063,7572.18562025554,"000",0,1,1,1
"15-Jan-12 12.40.50.000 AM",7292.24396299235,7210.30008459063,7572.18562025554,"000",0,1,1,1
"15-Jan-12 12.41.00.000 AM",7292.24396299235,7210.30008459063,7572.18562025554,"000",0,1,1,1
"15-Jan-12 12.41.10.000 AM",7292.24396299235,7210.30008459063,7572.18562025554,"000",0,1,1,1
"15-Jan-12 12.41.20.000 AM",7292.24396299235,7210.30008459063,7572.18562025554,"000",0,1,1,1
